Record,Annihilator FFA,Annihilator 2-TDM,Annihilator 4-TDM,Annihilator Maze,Assassin FFA,Assassin 2-TDM,Assassin 4-TDM,Assassin Maze,Auto 3 FFA,Auto 3 2-TDM,Auto 3 4-TDM,Auto 3 Maze,Auto 5 FFA,Auto 5 2-TDM,Auto 5 4-TDM,Auto 5 Maze,Auto Gunner FFA,Auto Gunner 2-TDM,Auto Gunner 4-TDM,Auto Gunner Maze,Auto Smasher FFA,Auto Smasher 2-TDM,Auto Smasher 4-TDM,Auto Smasher Maze,Auto Trapper FFA,Auto Trapper 2-TDM,Auto Trapper 4-TDM,Auto Trapper Maze,Basic Tank FFA,Basic Tank 2-TDM,Basic Tank 4-TDM,Basic Tank Maze,Battleship FFA,Battleship 2-TDM,Battleship 4-TDM,Battleship Maze,Booster FFA,Booster 2-TDM,Booster 4-TDM,Booster Maze,Destroyer FFA,Destroyer 2-TDM,Destroyer 4-TDM,Destroyer Maze,Factory FFA,Factory 2-TDM,Factory 4-TDM,Factory Maze,Fighter FFA,Fighter 2-TDM,Fighter 4-TDM,Fighter Maze,Flank Guard FFA,Flank Guard 2-TDM,Flank Guard 4-TDM,Flank Guard Maze,Gunner FFA,Gunner 2-TDM,Gunner 4-TDM,Gunner Maze,Gunner Trapper FFA,Gunner Trapper 2-TDM,Gunner Trapper 4-TDM,Gunner Trapper Maze,Hunter FFA,Hunter 2-TDM,Hunter 4-TDM,Hunter Maze,Hybrid FFA,Hybrid 2-TDM,Hybrid 4-TDM,Hybrid Maze,Landmine FFA,Landmine 2-TDM,Landmine 4-TDM,Landmine Maze,Machine Gun FFA,Machine Gun 2-TDM,Machine Gun 4-TDM,Machine Gun Maze,Manager FFA,Manager 2-TDM,Manager 4-TDM,Manager Maze,Mega Trapper FFA,Mega Trapper 2-TDM,Mega Trapper 4-TDM,Mega Trapper Maze,Necromancer FFA,Necromancer 2-TDM,Necromancer 4-TDM,Necromancer Maze,Octo Tank FFA,Octo Tank 2-TDM,Octo Tank 4-TDM,Octo Tank Maze,Overlord FFA,Overlord 2-TDM,Overlord 4-TDM,Overlord Maze,Overseer FFA,Overseer 2-TDM,Overseer 4-TDM,Overseer Maze,Overtrapper FFA,Overtrapper 2-TDM,Overtrapper 4-TDM,Overtrapper Maze,Penta Shot FFA,Penta Shot 2-TDM,Penta Shot 4-TDM,Penta Shot Maze,Predator FFA,Predator 2-TDM,Predator 4-TDM,Predator Maze,Quad Tank FFA,Quad Tank 2-TDM,Quad Tank 4-TDM,Quad Tank Maze,Ranger FFA,Ranger 2-TDM,Ranger 4-TDM,Ranger Maze,Rocketeer FFA,Rocketeer 2-TDM,Rocketeer 4-TDM,Rocketeer Maze,Skimmer FFA,Skimmer 2-TDM,Skimmer 4-TDM,Skimmer Maze,Skimmer v2 FFA,Skimmer v2 2-TDM,Skimmer v2 4-TDM,Skimmer v2 Maze,Smasher FFA,Smasher 2-TDM,Smasher 4-TDM,Smasher Maze,Sniper FFA,Sniper 2-TDM,Sniper 4-TDM,Sniper Maze,Spike FFA,Spike 2-TDM,Spike 4-TDM,Spike Maze,Sprayer FFA,Sprayer 2-TDM,Sprayer 4-TDM,Sprayer Maze,Spread Shot FFA,Spread Shot 2-TDM,Spread Shot 4-TDM,Spread Shot Maze,Stalker FFA,Stalker 2-TDM,Stalker 4-TDM,Stalker Maze,Streamliner FFA,Streamliner 2-TDM,Streamliner 4-TDM,Streamliner Maze,Trapper FFA,Trapper 2-TDM,Trapper 4-TDM,Trapper Maze,Tri-Angle FFA,Tri-Angle 2-TDM,Tri-Angle 4-TDM,Tri-Angle Maze,Tri-Trapper FFA,Tri-Trapper 2-TDM,Tri-Trapper 4-TDM,Tri-Trapper Maze,Triple Shot FFA,Triple Shot 2-TDM,Triple Shot 4-TDM,Triple Shot Maze,Triple Twin FFA,Triple Twin 2-TDM,Triple Twin 4-TDM,Triple Twin Maze,Triplet FFA,Triplet 2-TDM,Triplet 4-TDM,Triplet Maze,Twin FFA,Twin 2-TDM,Twin 4-TDM,Twin Maze,Twin Flank FFA,Twin Flank 2-TDM,Twin Flank 4-TDM,Twin Flank Maze
2018-02-16,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,957591,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,161970,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-17,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,957591,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,161970,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-18,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,957591,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-19,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,957591,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-20,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,957591,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-21,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,957591,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-22,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,957591,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-23,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,1030008,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,446230,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-24,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1171873,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,1030008,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,489751,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-25,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1247934,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,1030008,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,489751,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-26,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1247934,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1411896,1651994,774027,1241530,1030008,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,489751,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-27,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1247934,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1714349,1651994,774027,1241530,1030008,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,489751,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-02-28,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1247934,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1714349,1651994,774027,1241530,1030008,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,489751,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1263675,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
2018-03-01,2405498,2645563,2505312,1134923,919106,927911,1233765,419210,456049,1121550,663170,361902,1462816,2014976,2176247,843870,2111391,1698822,1690391,1155971,1276086,1898659,2352074,685742,1069107,1134881,832266,1049267,1081113,1243768,994917,700728,1011507,1236966,1247934,607712,3048121,1591344,2020838,1273254,1300000,1819985,2962409,954208,3257309,1485016,1284182,2162249,3880971,3015477,2768251,1533552,1005842,1239726,923578,615909,1391211,943355,948756,669156,1999554,1643569,1631058,960337,1000369,1216126,1614387,498154,3084274,2512999,2649489,1609638,1300171,1733502,1324921,1067269,2119560,1197841,1465269,1404963,2255780,2825820,3341096,2184103,360301,709766,678737,281168,1778102,3606219,3732566,972863,2300779,2113252,2611412,1377845,4302151,3764999,3662100,2315039,1839114,3013000,2547429,2112439,346188,949348,536809,491294,2625628,3297363,2521224,1539010,2248698,1714349,1651994,774027,1241530,1030008,1096733,521224,1477346,1300000,2232016,682144,1032708,2284586,1685190,690351,1350000,1889693,1574328,992281,417116,489751,810929,363459,1112998,1456222,1224067,888532,1988233,1394841,1480373,625006,1466005,2188791,2184726,949517,1839619,1429347,1916903,1513047,3115472,2489280,2377739,1006940,1033212,1119164,1265868,477020,1452239,1237964,1278080,784942,440806,645527,504884,162929,2149054,1453399,1308173,1210607,500936,627207,512271,406060,747813,1118884,1257459,603582,1299910,1384149,1593785,1951086,2435177,1567807,2001142,1208436,1974352,1529082,1706260,1233182,1206882,1078086,1107630,708817
